locationid,latitude,longitude,stationname,parentcity,sourceurl
1113,41.014521,123.122538,"Qianshan , Anshan , Anshan",china,http://aqicn.org/city/china/anshan/qianshan/
1114,41.103264,122.978613,"Tiexi Sandao jie, Anshan",china,http://aqicn.org/city/china/anshan/tiexisandaojie/
1115,41.094946,123.019037,"Taiyang, Anshan",china,http://aqicn.org/city/china/anshan/taiyangcheng/
1116,41.264104,123.811523,"Xinlitun , Benxi , Benxi",china,http://aqicn.org/city/china/benxi/xinlitun/
1117,41.113441,121.140911,"Monitoring station, Jinzhou",china,http://aqicn.org/city/china/jinzhou/jiancezhan/
1118,40.853915,121.061756,"BDA, Jinzhou",china,http://aqicn.org/city/china/jinzhou/kaifaqu/
1119,41.124468,121.126119,"tianan street, Jinzhou , Jinzhou",china,http://aqicn.org/city/china/jinzhou/tiananjiedao/
1120,41.12214,121.21027,"baigu street, Jinzhou, Jinzhou",china,http://aqicn.org/city/china/jinzhou/baigujiedao/
1121,41.576022,120.456053,Chaoyang,chaoyang,http://aqicn.org/city/chaoyang/
1122,43.93968,125.247371,"Agricultural Area, Chaoyang",china,http://aqicn.org/city/china/chaoyang/nongyeyuanqu/
1123,42.225197,123.732174,Tieling,tieling,http://aqicn.org/city/tieling/
1124,42.311115,123.845614,"Huigong Street West , Tieling , Tieling",china,http://aqicn.org/city/china/tieling/huigongjiexi/
1125,41.269312,123.24268,Liaoyang,liaoyang,http://aqicn.org/city/liaoyang/
1126,41.176884,123.419859,"Riverside Road , Liaoyang , Liaoyang",china,http://aqicn.org/city/china/liaoyang/binhelu/
1127,42.02373,121.675733,Fuxin,fuxin,http://aqicn.org/city/fuxin/
1128,42.035091,121.666531,"Yulong Metro , Fuxin , Fuxin",china,http://aqicn.org/city/china/fuxin/yulongxincheng/
1129,42.029119,121.681553,"Dongyuan , Fuxin , Fuxin",china,http://aqicn.org/city/china/fuxin/dongyuan/
1130,38.159458,114.59879,"Zhengding Unicom, Shijiazhuang",hebei,http://aqicn.org/city/hebei/shijiazhuangshi/zhengdingliantonggongsi/
1131,37.906534,114.638785,"Luancheng Communications, Shijiazhuang",hebei,http://aqicn.org/city/hebei/shijiazhuangshi/luanchengtongxungongsi/
1132,38.039518,114.867812,"Gaocheng Experimental School, Shijiazhuang",hebei,http://aqicn.org/city/hebei/shijiazhuangshi/gaochengshiyanxuexiao/
1133,38.17862,114.997012,"Wuji EPA, Shijiazhuang",hebei,http://aqicn.org/city/hebei/shijiazhuangshi/wujihuanbaoju/
1134,38.197674,115.219126,"Shenze Power Supply Bureau, Shijiazhuang",hebei,http://aqicn.org/city/hebei/shijiazhuangshi/shenzegongdianju/
1135,37.77171,114.775957,"Zhaoxian EPA, Shijiazhuang",hebei,http://aqicn.org/city/hebei/shijiazhuangshi/zhaoxianhuanbaoju/
1136,37.623535,114.612729,"Gaoyi County City Hall, Shijiazhuang",hebei,http://aqicn.org/city/hebei/shijiazhuangshi/gaoyixianzhengfu/
1137,37.672898,114.398269,"Zanhuang County City Hall, Shijiazhuang",hebei,http://aqicn.org/city/hebei/shijiazhuangshi/zanhuangxianzhengfu/
1138,38.038788,114.158406,"Jingxing Bureau of Meteorology, Shijiazhuang",hebei,http://aqicn.org/city/hebei/shijiazhuangshi/jingxingxianqixiangju/
1139,38.266657,114.210275,"Pingshan Ye River, Shijiazhuang",hebei,http://aqicn.org/city/hebei/shijiazhuangshi/pingshanyehe/
1140,39.741379,118.460246,"Guye District City Hall, Tangshan",hebei,http://aqicn.org/city/hebei/tangshanshi/guyequzhengfu/
1141,39.675246,118.275149,"Kaiping Stations, Tangshan",hebei,http://aqicn.org/city/hebei/tangshanshi/kaipingjiancezhan/
1142,39.5834,118.097454,"Fengnan District City Hall, Tangshan",hebei,http://aqicn.org/city/hebei/tangshanshi/fengnanquzhengfu/
1143,39.840355,118.175338,"Fengrun City Hall, Tangshan",hebei,http://aqicn.org/city/hebei/tangshanshi/fengrunquzhengfu/
1144,40.153339,118.317265,"Qianxi EPA, Tangshan",hebei,http://aqicn.org/city/hebei/tangshanshi/qianxihuanbaoju/
1145,39.291232,118.462182,"Caofeidian Xinli  Primary School, Tangshan",hebei,http://aqicn.org/city/hebei/tangshanshi/caofeidianxinlixiaoxue/
1146,40.206249,117.997315,"Zunhua EPA, Tangshan",hebei,http://aqicn.org/city/hebei/tangshanshi/zunhuahuanbaoju/
1147,40.004248,118.717055,"Qianan No.1 middle school, Tangshan",hebei,http://aqicn.org/city/hebei/tangshanshi/qiananyizhong/
